study_type,poverty_context,mechanism,behavior,title,date
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy","Consumption, Saving","Execution of Anti-Poverty Sub-Plan---A Case Study of Digambarpur Gram Panchayet, Patharpratima Block, South 24 Parganas District, West Bengal",2014
Observational,"Low resource level, Resource volatility","Anxiety, Depression, Stress",Labor Supply,EUROPEAN SOCIAL MODEL AND AUSTERITY POLICY,2017
Observational,Low resource level,"Internalized stigma, Locus of control","Labor Supply, Occupational choice","Neoliberalism, Hindutva and Gender",2020
"Observational, Case-study, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Family interaction,"Michael Young, the Institute of Community Studies, and the Politics of Kinship",2015
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Resource volatility, Physical environment, Human capital inputs",Locus of control,Educational achievement,"The Evolution of Groupwise Poverty in Madagascar, 1999-2005",2010
"Observational, Cross-sectional",Low resource level,Self-efficacy,Investing,INFLUENCE OF INTRAPRENEURSHIP ON GROWTH OF RESTAURANTS IN NYERI TOWN: A SURVEY OF SELECTED RESTAURANTS IN NYERI CENTRAL BUSINESS DISTRICT,2016
"Ethnography, Observational",Low resource level,Internalized stigma,Labor Supply,"The Devil Wears Dockers: Devil Pacts, Trade Zones, and Rural-Urban Ties in the Dominican Republic",2013
Observational,Low resource level,"Aspirations, Self-efficacy",Investing,The Impact of Entrepreneurship on Economic and Social Development,2020
Observational,"Low resource level, Human capital inputs",Self-efficacy,Labor Supply,FEMALE EMPLOYMENT AND CARE ECONOMY IN TURKEY,2019
Observational,Low resource level,"Anxiety, Depression, Stress","Consumption, Educational achievement",Evaluation of a Health Education Intervention to Improve Parental Knowledge and Attitudes About Chronic Stress and Depression Among Head Start Families,2021
Observational,Low resource level,"Self-efficacy, Time preferences",Educational achievement,Building resilience to hate in classrooms: Innovation in practice and pedagogy to prevent extremism and violence in U.S. schools,2023
Observational,Low resource level,"Anxiety, Stress",Consumption,"Mitigating Climate Change and Determinants of Access to Liquified Petroluem Gas (LPG) Among Urban Households in Abia State, Nigeria",2015
Observational,Low resource level,"Executive function, Fluid intelligence, Working memory, Happiness",Educational achievement,Scholarships versus training for happiness gained from an education in creativity: A dynamic analytical model,2019
"Randomized (controlled) trial, Meta-analysis, Observational","Low resource level, Social environment","Aspirations, Self-efficacy",Labor Supply,Work Programmes for Welfare Recipients,2006
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress","Consumption, Saving",Filipino migrant workers’ leisure and subjective quality of life in Macao,2020
"Observational, Case-study",Low resource level,Aspirations,Family interaction,"‘Our Soldiers’ Widows’: Charity, British War Widows, and the South African War (1899–1902)",2019
"Observational, Longitudinal / Panel","Low resource level, Physical environment","Stress, Insufficient info",Educational achievement,What difference can fathers make? Early paternal absence compromises Peruvian children's growth,2011
Observational,Low resource level,"Anxiety, Depression",Educational achievement,Depression Risk Lower Among Native Americans,2005
Observational,Low resource level,Self-efficacy,Educational achievement,"Linking social capital as mediated by self-efficacy and its impact on farmers’ well-being: The case of Guizhou Province, China",2024
"Observational, Difference-in-difference",Low resource level,Self-efficacy,Medication adherence,Does community engaged Carnegie status matter for county health rankings in the United States?,2019
"Case-study, Ethnography","Low resource level, Physical environment, Social environment","Anxiety, Stress",Crime,Local government dissolution in Karachi: chasm or catalyst?,2016
"Cross-sectional, Observational, Longitudinal / Panel","Low resource level, Social environment","Executive control, Executive function",Educational achievement,Nutrition as an important mediator of the impact of background variables on outcome in middle childhood,2013
"Observational, Cross-sectional","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,Socio-Demographical Factors on Academic Redshirting as Perceived by School-going Adolescents with Special Needs,2020
Observational,"Low resource level, Resource volatility","Anxiety, Stress",Consumption,Economic Insecurity and Fertility Intentions: The Case of <scp>I</scp>taly,2013
Interviews,"Low resource level, Social environment","Aspirations, Self-efficacy","Consumption, Food diet, Parenting","Evaluation of Mothers' Knowledge, Attitudes, and Practice Towards the Ten Steps to Successful Breastfeeding in Egypt",2012
"Observational, Cross-sectional",Low resource level,"Attention, Cognitive flexibility",Investing,Preferred Channel Choices in Vegetable Marketing: Role of Macro and Micro Environmental Factors in Odisha,2023
"Observational, Cross-sectional","Low resource level, Social environment","Stress, Locus of control","Labor Supply, Educational achievement","“Factors Responsible For the Incidence of Child Labour: A Study in Cuttack City, Odisha”",2016
"Observational, Case-study, Interviews",Human capital inputs,"Attention, Cognitive flexibility, Executive control, Executive function",Educational achievement,Project-Based Learning: A Critical Pedagogy for the Twenty-First Century,2011
"Observational, Case-study, Interviews","Low resource level, Physical environment, Social environment","Aspirations, Locus of control","Educational achievement, Crime",More than Legitimacy: Local Governance and Variation in Human Development in Post-War Guatemala,2013
Cross-sectional,"Low resource level, Resource volatility","Anxiety, Depression, Stress","Consumption, Food diet",Food insecurity associated with self-reported mental health outcomes in Peruvian households during the COVID-19 pandemic,2022
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Crime,Drivers of Learner Aggression in Selected Schools in the Amathole District Municipality in South Africa,2024
Observational,Low resource level,Aspirations,Consumption,Biofortification: An encouraging strategy for enhancing micronutrient levels in vegetable crops-A review,2024
"Observational, Longitudinal / Panel",Low resource level,Risk preferences,Investing,Risk management of the English universities after the 2008 financial crisis,2017
"Observational, Case-study, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Family interaction,How to Begin a Critical Look at Tactical Urbanism,2020
"Observational, Cross-sectional","Low resource level, Human capital inputs","Aspirations, Locus of control",Educational achievement,Geography Matters: Explaining Education Inequalities of Latvian Children in England,2022
"Observational, Longitudinal / Panel","Low resource level, Physical environment","Aspirations, Self-efficacy",Educational achievement,"Seasonality of associations between production of indigenous foods and food security status of mother-child dyads in Kisumu County, Kenya",2024
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Stress",Educational achievement,"The prevalence of unplanned pregnancy ending in birth, associated factors, and health outcomes",2016
Observational,"Low resource level, Social environment","Aspirations, Locus of control",Educational achievement,"Relations between Child Poverty and New Migrant Child Status, Academic Attainment and Social Participation: Insights Using Social Capital Theory",2016
"Observational, Cross-sectional",Low resource level,"Anxiety, Stress",Exercise,Older people in the UK: under attack from all directions,2012
Observational,Low resource level,"Aspirations, Locus of control",Labor Supply,(WHY) HAVE PRO‐POOR POLICIES FAILED AFRICA'S WORKING POOR?,2012
Interviews,"Low resource level, Physical environment","Anxiety, Stress, Internalized stigma","Consumption, Insufficient info",In My New Home: The Daily Lives of People Living in Public Houses after a Long Period of Homelessness,2022
"Observational, Systematic review",Low resource level,Internalized stigma,"Consumption, Educational achievement",Period Poverty: A Neglected Public Health Issue,2023
Observational,"Low resource level, Resource volatility",Risk preferences,"Borrowing, Investing",Private Equity Investments in Microfinance in India,2015
"Randomized (controlled) trial, Observational","Low resource level, Social environment","Stress, Self-efficacy",Parenting,A family-oriented psychosocial intervention reduces inflammation in low-SES African American youth,2014
"Observational, Cross-sectional","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,The Labeling of Students in Educational Institutions in Israel According to their Economic Affiliation,2016
Longitudinal / Panel,Low resource level,"Stress, Anxiety","Family interaction, Violence",Does the Amount of Time Mothers Spend With Children or Adolescents Matter?,2015
Observational,Low resource level,"Attention, Anxiety, Stress","Consumption, Educational achievement",Tourists or Exiles? American Modernists in Paris in the 1920s and 1950s,2005
"Observational, Longitudinal / Panel","Low resource level, Social environment","Aspirations, Self-efficacy",Educational achievement,Older People,2010
"Ethnography, First-hand observations","Low resource level, Physical environment",Self-efficacy,Labor Supply,Gender and Environment in the Interior of Santiago Island/Cape Verde: Sand Harvesting From Women Heads of Families**,2021
"Case-study, Interviews",Low resource level,Self esteem,Occupational choice,Teacher Empowerment in Creative Economy Education: A Case Study at Sd Ta'mirul Islam Surakarta Indonesia,2024
"Observational, Longitudinal / Panel",Low resource level,"Anxiety, Depression, Stress",Educational achievement,Impact of Psychosocial Factors on Postpartum Depression of Mothers,2018
"Observational, Cross-sectional",Low resource level,Self-efficacy,Saving,Performance of Islamic microcredit in perspective of Maqasid Al-Shariah: A case study on Amanah Ikhtiar Malaysia,2019
Observational,"Low resource level, Physical environment",Locus of control,"Consumption, Food diet",Assessing the inequalities in access to online delivery services and the way COVID-19 pandemic affects marginalization,2021
Observational,Low resource level,"Happiness, Stress",Consumption,Economic drivers of dwelling satisfaction,2009
"Observational, Interviews",Physical environment,"Stress, Locus of control","Consumption, Investing","A people‐centred perspective on climate change, environmental stress, and livelihood resilience in Bangladesh",2016
"Observational, Interviews","Low resource level, Social environment","Anxiety, Depression",Family interaction,Mothers’ gardens in arid soil: A study of religious and spiritual coping among marginalized U.S. mothers with depression,2018
Observational,"Low resource level, Resource volatility","Time preferences, Risk preferences","Consumption, Saving",Effect of Income Inequality on Health Indicators in Nigeria (1980-2014),2015
"Difference-in-difference, Observational",Low resource level,Time preferences,Consumption,Globalization and Absolute Poverty A Panel Data Study,2011
"Observational, Interviews","Low resource level, Social environment","Attention, Executive control, Executive function",Educational achievement,The early intervention solution: Enabling or constraining literacy learning,2008
"Observational, Cross-sectional",Low resource level,Internalized stigma,Violence,An analysis of Miranda warnings and waivers: Comprehension and coverage.,2006
"Ethnography, Observational","Low resource level, Physical environment",Self esteem,"Investing, Occupational choice",FEMALE RURAL ENTREPRENEURSHIP: FOCUS ON THE SUCCESSFUL CASE OF “DOCES TAMBABA”,2022
"Observational, Interviews","Low resource level, Social environment","Happiness, Stress",Consumption,‘My Sejahtera’ Application as COVID-19 Control Mechanism from Islamic Thought Perspective: Malaysia Experience,2022
"Observational, Interviews","Low resource level, Social environment","Internalized stigma, Self esteem","Labor Supply, Family interaction, Parenting","Women, Work, and Inequality in the U.S.: Revising the Second Shift",2019
"Observational, Cross-sectional","Low resource level, Physical environment",Aspirations,"Investing, Labor Supply",DEVELOPMENT GOES WIRELESS,2007
"Observational, Case-study",Low resource level,Self esteem,Labor Supply,The Making of a 'Domestic' Life: Memories of a Working Woman,2008
"Observational, Cross-sectional","Low resource level, Resource volatility",Risk preferences,Crime,The Growing Phenomenon of Money Rituals-Motivated Killings in Nigeria: An Empirical Investigation into the Factors Responsible,2019
Observational,"Low resource level, Resource volatility","Time preferences, Stress","Consumption, Investing",Involuntary Rural Resettlement,2011
Observational,Low resource level,Self-efficacy,Educational achievement,Enhancing intercultural sensitivity with children’s picture books: A perspective from Erasmus+ project,2024
"Observational, Cross-sectional","Low resource level, Physical environment","Anxiety, Stress",Crime,"Race, Place, and Risk: Black Homicide in Urban America. Harold M. Rose and Paula I. McClain; Soviet Urbanization. Olga Medvedkov; The Retail Environment. Ken Jones and Jim Simmons, and Rutgers Regional Report Volume Ill: Retailing and Regional Malls. James W. Hughes and George Sternlieb; Down and Out in America: The Origins of Homelessness. Peter H. Rossi; The Changing Geography of the United Kingdom. R. J. Johnston and Vince Gardiner, eds.",2013
"Observational, Interviews","Low resource level, Social environment","Self-efficacy, Self esteem","Parenting, Family interaction",Parental Factors Associated with Mexican American Adolescent Alcohol Use,2013
Observational,Low resource level,Stress,Food diet,"EFEK PROGRAM PEMBERIAN ""TABURIA"" TERHADAP KADAR HEMOGLOBIN BALITA PADA KELUARGA MISKIN DI JAKARTA UTARA",2012
Observational,Low resource level,Self-efficacy,Educational achievement,Effect of Foreign Aid on Educational Development in Nigeria,2019
Interviews,"Low resource level, Social environment","Anxiety, Internalized stigma",Crime,Social Justice in the National Football League: How an Internal Initiative Could Help Dismantle Racism and Promote Player Activism,2023
Observational,"Low resource level, Physical environment",Stress,Consumption,Urban Heat Stress Vulnerability in the U.S. Southwest: The Role of Sociotechnical Systems,2016
"Observational, Cross-sectional","Low resource level, Resource volatility","Time preferences, Risk preferences","Borrowing, Consumption",A Regional Analysis of Credit Needs and the Unmet Demand for Microfinance,2011
Observational,Low resource level,"Anxiety, Stress",Crime,Conservatism and the Underidentification of Students with Emotional and Behavioral Disorders in Special Education,2014
"Case-study, Interviews","Low resource level, Social environment",Internalized stigma,Family interaction,Local Faith Actors and the Global Compact on Refugees,2020
Cross-sectional,"Low resource level, Resource volatility",Time preferences,"Consumption, Food diet",Dietary diversity and associated factors among school-aged children and adolescents in Lokossa district of southern Benin: a cross-sectional study,2023
"Observational, Case-study, Interviews","Low resource level, Social environment","Anxiety, Stress","Educational achievement, Family interaction","Exploring the local policy context for reducing health inequalities in children and young people: an in depth qualitative case study of one local authority in the North of England, UK",2021
"Observational, Cross-sectional","Low resource level, Social environment","Executive control, Executive function, Working memory, Anxiety",Crime,Neuropsychological Assessment in Schooled Adolescent Offenders and Non-Offenders,2024
"Observational, Interviews, Focus groups","Low resource level, Physical environment","Stress, Risk preferences","Consumption, Food diet","Coping with Food Insecurity in Rural South Africa: The Case of Jozini, KwaZulu-Natal",2014
"Case-study, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy","Educational achievement, Family interaction",Classroom of hope: The voice of one courageous teacher on the US–Mexico border,2012
"Observational, Ethnography, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy","Food diet, Family interaction",Does Child Food Exist for Rural Malays? A Mixed Methods Approach to Food and Identity,2013
"Observational, Interviews",Low resource level,"Anxiety, Stress",Medication adherence,Representations of people living with HIV: influences on the late diagnosis of infection,2019
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy",Educational achievement,Contradictions within an activity of second language reading literacy,2019
"Observational, Interviews","Low resource level, Social environment","Self esteem, Internalized stigma","Educational achievement, Family interaction",Peace values in language textbooks: the case of <i>English for Ethiopia Student Textbook</i>,2016
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Crime,Child abuse: A concealed sin prevailing in the society,2021
Observational,Low resource level,"Aspirations, Self-efficacy",Investing,"Village Owned Enterprises (BUMDEs) Social Entrepreneurship Innovation in developing the Potential of Local Wisdom (Case Study on BUMDEs Cisantana, Kuningan Regency)",2021
"Observational, Cross-sectional","Low resource level, Physical environment","Stress, Aspirations",Food diet,"Interplay of Climate Variability, Land Use Change, Crop Yield and Farm Households Food Security in Offin River Basin, Ghana",2021
"Interviews, Observational","Low resource level, Human capital inputs","Depression, Stress, Internalized stigma",Educational achievement,The Impact of Poverty on Girl Learners’ Cognitive Capacity: A Case of Zimbabwe,2013
"Ethnography, Observational","Low resource level, Physical environment, Social environment","Stress, Internalized stigma",Family interaction,"The <i>Ohaka</i> (Grave) Project: Post-secular social service delivery and resistant necropolitics in San’ya, Tokyo",2019
Longitudinal / Panel,Low resource level,"Anxiety, Stress",Medication adherence,Cognitive impairment and limited dietary diversity or physical inactivity are conjoint precursors of incident diabetes more so in elderly women than men.,2013
"Observational, Interviews",Low resource level,Time preferences,Consumption,On leisure demand: a Post Keynesian critique of neoclassical theory,2014
Observational,Low resource level,Time preferences,Saving,Low Savings Rates in the Economic Community of West African States (Ecowas): The Role of the Political Instability-Income Interaction,2013
"Observational, First-hand observations","Low resource level, Physical environment",Stress,Educational achievement,West Africa Dwarf sheep management systems and exposure to potential stressors in the savannah agroecological zone of Ghana,2022
"Observational, Regression discontinuity","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,Gender Viewpoints In Budgetary Process: Achieving The Gender Equality And Women Empowerment In India,2022
"Ethnography, Observational","Low resource level, Social environment","Anxiety, Internalized stigma",Family interaction,Migration to South Africa: A missional reflection of a refugee using Jeremiah 29:4–12 as an interpretive framework,2020
"Observational, Cross-sectional",Low resource level,"Stress, Risk preferences",Consumption,The Path Toward Universal Health Coverage,2015
Interviews,"Low resource level, Social environment",Internalized stigma,Family interaction,The construction of gender identities in public sector organisations in Latin America,2010
"Observational, Longitudinal / Panel","Low resource level, Social environment","Aspirations, Self-efficacy",Labor Supply,A gender analysis of Covid-19’s impact on the Hungarian Labor Market,2021
"Observational, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Consumption,"Pleasure, Power, and Inequality: Incorporating Sexuality Into Research on Contraceptive Use",2008
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Executive function, Stress",Educational achievement,“It Takes a Village to Raise a Child”: Early Child Development in Relation to Other Social Determinants of Health,2016
"Observational, Case-study","Low resource level, Social environment","Locus of control, Stress","Consumption, Saving",Learning from full employment history: The 1945 Australian White Paper in practice,2018
"Observational, Interviews, Focus groups",Social environment,"Aspirations, Internalized stigma",Educational achievement,Examining the Developmental Impact of Youth Participation in Education Governance: The Case of Student Trustees,2010
"Instrumental variable design, Observational","Low resource level, Social environment","Aspirations, Locus of control",Educational achievement,Putting Up or Shutting Up: On the Individual-Level Relationship between Taxpaying and Political Interest in a Developmental Context,2014
"Observational, Systematic review","Low resource level, Social environment","Anxiety, Depression, Internalized stigma",Family interaction,Women Mental Health and Well-being: A New Paradigm,2017
"Observational, Case-study","Low resource level, Social environment",Locus of control,Labor Supply,Regeneration works? Disabled people and area-based urban renewal,2009
Observational,Low resource level,Risk preferences,Investing,"Entrepreneurial Orientation and the Performance of the Agro-allied Enterprises in Akwa Ibom State, Nigeria",2022
"Observational, Cross-sectional","Low resource level, Human capital inputs","Anxiety, Depression",Educational achievement,"Effects of Child Abuse on Academic Performance of Primary School Pupils in Kwande Local Government Area of Benue State, Nigeria",2021
Observational,Low resource level,"Cognitive flexibility, Time preferences",Consumption,Governance and basic social services: ensuring accountability in service delivery through deep democratic decentralization,2005
Cross-sectional,Low resource level,Time preferences,Saving,How Financially Literate Are Women? An Overview and New Insights,2016
Observational,"Low resource level, Human capital inputs","Aspirations, Self-efficacy",Occupational choice,Review on phenotypic characterization and breeding objective traits of indigenous chicken in Ethiopia,2023
"Observational, Interviews",Low resource level,Stress,Consumption,Determinants of health seeking behaviour among low income households of Punjab: does health insurance coverage matter?,2017
"Observational, Interviews",Low resource level,Locus of control,Occupational choice,Digitalization of Small Retail Stores - Challenges in Digital Payments,2019
"Observational, Case-study","Low resource level, Social environment","Self-efficacy, Locus of control",Educational achievement,From state control to network governance of primary education in Tanzania: has local empowerment been attained?,2015
"Cross-sectional, Interviews",Low resource level,"Anxiety, Stress",Crime,"Exposure to Workplace Violence and Quality of Life among Drivers and Conductors in Maputo City, Mozambique",2009
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Physical environment","Stress, Aspirations","Consumption, Insufficient info",Access to drinking safe water and its associated factors among households in East Africa: a mixed effect analysis using 12 East African countries recent national health survey,2024
Observational,Low resource level,"Attention, Stress",Exercise,‘Screenagers’ and In/Active Lifestyles: A Socio-Cultural Analysis of Healthy Life Span Promotion,2013
"Observational, Cross-sectional","Low resource level, Physical environment",Stress,Consumption,Characteristics of household energy consumption in the shadow of the Russia-Ukraine war - a case study from Hungary,2024
"Observational, Cross-sectional","Low resource level, Human capital inputs","Attention, Executive control, Executive function",Educational achievement,Links Between Young Children’s Behavior and Achievement,2011
"Observational, Interviews",Physical environment,Aspirations,Educational achievement,The significance of context: autonomy and curriculum reform in rural schools,2020
"Cross-sectional, Observational",Low resource level,"Anxiety, Stress","Food diet, Medication adherence",Paradoxes in self-evaluated health data in a developing country.,2010
Observational,"Low resource level, Social environment","Aspirations, Self-efficacy",Occupational choice,Beyond the numbers: Does a high number of women in political corridors translate into delivery of Sustainable Development Goals 5 on gender equality and 16 on peace and security in the SADC region?,2018
Randomized (controlled) trial,"Low resource level, Human capital inputs","Stress, Self-efficacy",Medication adherence,Implementing DASH-Aligned Meals and Self-Measured Blood Pressure to Reduce Hypertension at Senior Centers: A RE-AIM Analysis,2022
"Difference-in-difference, Observational, Longitudinal / Panel","Low resource level, Social environment","Anxiety, Stress","Consumption, Educational achievement","Child Poverty, the Great Recession, and the Social Safety Net in the United States",2016
Observational,Low resource level,Aspirations,Occupational choice,Why income gaps matter: The Treasury and the tricky issue of inequality,2014
"Observational, Longitudinal / Panel","Low resource level, Social environment","Executive function, Insufficient info",Educational achievement,Neighborhoods as a Developmental Context: A Multilevel Analysis of Neighborhood Effects on Head Start Families and Children,2010
"Observational, Interviews","Low resource level, Social environment","Self-efficacy, Internalized stigma",Family interaction,From victimhood to hubs of (trans)formation and local agency: Re-imagining poor urban communities,2019
"Observational, Cross-sectional, Longitudinal / Panel","Physical environment, Low resource level","Stress, Anxiety","Exercise, Consumption",Perceived Neighbourhood Problems over Time and Associations with Adiposity,2018
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs, Social environment","Anxiety, Depression, Stress","Educational achievement, Parenting",Caregiver experiences of racism are associated with adverse health outcomes for their children: a cross-sectional analysis of data from the New Zealand Health Survey,2019
"Observational, Ethnography","Low resource level, Physical environment","Stress, Locus of control",Consumption,How to make noncoherent problems more productive: Towards an AMR management plan for low resource livestock sectors,2021
"Observational, First-hand observations",Low resource level,"Anxiety, Stress",Crime,Vision 2030 and the Gender Question in Kenya,2018
"Observational, Cross-sectional","Low resource level, Social environment","Aspirations, Locus of control",Educational achievement,Beyond the Nation: the Mobility of Indian Literature,2014
Observational,Low resource level,Time preferences,Consumption,"Causes and Consequences of Cohabitation among Students of Federal Polytechnics Offa, Kwara State, Nigeria",2022
Observational,Low resource level,"Anxiety, Stress","Labor Supply, Occupational choice",Harnessing information and communication technologies (ICTs) to address urban poverty: Emerging open policy lessons for the open knowledge economy,2012
Cross-sectional,"Low resource level, Resource volatility","Anxiety, Stress",Educational achievement,Perceived influence of economic recession and psychological adjustment on students' learning among undergraduate students of University of Calabar,2021
"Observational, Cross-sectional","Low resource level, Human capital inputs","Aspirations, Self-efficacy, Time preferences","Investing, Occupational choice",Role of Government Credits Scheme in Supporting Women Entrepreneurs in India: an Empirical Study,2024
"Observational, Cross-sectional","Low resource level, Human capital inputs","Executive function, Self-efficacy",Educational achievement,PRACTICES OF MANAGING STUDENTS’ SOCIO-ECONOMIC STATUS FOR ACHIEVEMENT OF EDUCATIONAL GOALS IN MAKERERE UNIVERSITY (UGANDA),2021
"Observational, Interviews","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,<i>Getting through the day and still having a smile on my face</i>! How do students define success in the university learning environment?,2018
"Observational, Cross-sectional","Low resource level, Social environment","Aspirations, Self-efficacy","Occupational choice, Educational achievement",Addressing the challenges of food security and youth unemployment in South Africa through land reform policies,2016
Observational,Low resource level,Self-efficacy,Occupational choice,"THE EFFECT OF ABILITY, SOCIO DEMOGRAFI AND SELF EFFICACY ON ENTREPRENEURIAL INTENTION OF MENTAWAI ISLAND INDIGENOUS COMMUNITY",2022
"Observational, Ethnography, Interviews","Low resource level, Social environment","Internalized stigma, Locus of control",Medication adherence,Adherence and the Lie in a HIV Prevention Clinical Trial,2015
"Interviews, Focus groups",Low resource level,"Anxiety, Stress",Medication adherence,"Pregnant women, their male partners and health care providers’ perceptions of HIV self-testing in Kampala, Uganda: Implications for integration in prevention of mother-to-child transmission programs and scale-up",2021
Observational,"Low resource level, Physical environment","Stress, Risk preferences",Consumption,Financial Vulnerability and Personal Finance Outcomes of Natural Disasters,2017
"Observational, Interviews",Low resource level,"Attention, Anxiety",Medication adherence,Communication and Racial Inequities in Health Care,2005
"Observational, Interviews","Low resource level, Social environment","Anxiety, Internalized stigma",Family interaction,The Impact of Poverty on First Nations Mothers Attending a Parenting Program,2020
"Observational, Longitudinal / Panel",Low resource level,Risk preferences,Investing,An Estimated Structural Model of Entrepreneurial Behavior,2017
"Observational, Cross-sectional","Low resource level, Resource volatility","Stress, Risk preferences","Consumption, Investing",Transformation from Neoclassicism to Austrian School: Javier Mileis Economic Evolution,2025
Observational,Low resource level,"Aspirations, Self-efficacy",Investing,Financing Organic Farming through Crowdfunding: Is the Wisdom of Crowds More Supportive for Mixed Gender Teams?,2024
"Observational, Interviews",Low resource level,Locus of control,Family interaction,Deliberative Policy of Village Government in Village Fund Management in Jembrana Regency,2022
Observational,Low resource level,"Memory, Working memory, Self-efficacy",Medication adherence,Role of social and other determinants of health in the effect of a multicomponent integrated care strategy on type 2 diabetes mellitus,2020
Observational,Low resource level,Self-efficacy,"Consumption, Food diet",A Gender Mainstreaming Approach of Social and Economic Impact Management during the Covid-19 Pandemic in Urban Settlements,2021
"Observational, Interviews","Low resource level, Social environment","Self-efficacy, Aspirations","Investing, Family interaction",KONTRIBUSI POSDAYA MASJID “MIFTAHUL HIDAYAH” DI DESA BULAY KECAMATAN GALIS KABUPATEN PAMEKASAN,2017
"Observational, Interviews","Low resource level, Social environment","Internalized stigma, Locus of control",Family interaction,Medical Research Participation as “Ethical Intercorporeality”: Caring for Bio–Social Bodies in a Mexican Human Papillomavirus (HPV) Study,2016
"Observational, Cross-sectional",Low resource level,"Attention, Cognitive flexibility, Aspirations",Family interaction,"Toward social sustainability: evidence from the Chaharbagh Abbasi Pedestrian Street in a historical Middle Eastern city, Iran",2024
"Observational, Cross-sectional","Low resource level, Resource volatility","Anxiety, Stress",Medication adherence,ACCESS TO PUBLIC HEALTH SERVICES FOR DIFFERENT GROUPS OF RURAL POPULATION IN RUSSIA,2021
"Observational, Cross-sectional","Low resource level, Physical environment","Attention, Memory",Consumption,The Impact of Gross Enrollment Ratio (GER) of Tertiary Education in Indonesia on the Literacy and Inclusion Index: A Case Study Of Islamic Finance in Indonesia,2021
"Observational, Longitudinal / Panel","Low resource level, Physical environment","Anxiety, Stress","Medication adherence, Educational achievement",Persistence of Dioxin TCDD in Southern Vietnam Soil and Water Environments and Maternal Exposure Pathways with Potential Consequences on Congenital Heart Disease Prevalence in Vietnam,2022
"Observational, Cross-sectional","Low resource level, Physical environment","Anxiety, Stress",Exercise,Coping with Stress in Deprived Urban Neighborhoods: What Is the Role of Green Space According to Life Stage?,2017
Observational,Low resource level,"Anxiety, Depression, Stress",Medication adherence,Risk factors associated with increased depressive symptoms among Latinas diagnosed with breast cancer within 5 years of survivorship,2013
"Randomized (controlled) trial, Observational, Cross-sectional","Low resource level, Resource volatility","Anxiety, Depression, Stress, Self esteem","Consumption, Labor Supply",The Consequences of Divorce on Women: An Exploratory Study of Divorced Women Problems in Jordan,2022
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Physical environment, Social environment","Stress, Insufficient info",Medication adherence,The gap between self-reported and objective measures of disease status in India,2018
Observational,Low resource level,Locus of control,Consumption,Using Andersen’s Behavioral Model to Predict Participation in the Supplemental Nutrition Assistance Program (SNAP) Among US Adults,2016
"Observational, Longitudinal / Panel",Low resource level,"Anxiety, Depression, Stress",Educational achievement,Research on Emotion Recognition and Mental State Prediction of College Students Based on Deep Neural Network,2022
"Observational, Interviews",Low resource level,"Time preferences, Self-efficacy",Saving,Determining the potential of informal savings groups as a model for formal commitment saving devices,2021
"Observational, Case-study",Low resource level,"Internalized stigma, Locus of control",Crime,Patriotism in Kampak Patik Protests in Ponorogo 1885,2022
"Case-study, Interviews, Focus groups","Low resource level, Social environment","Anxiety, Internalized stigma","Family interaction, Crime, Violence","Rethinking Women Experiences in Water and Sanitation Projects in Tongogara Refugee Camp, Zimbabwe",2022
Randomized (controlled) trial,Low resource level,"Anxiety, Depression, Self-efficacy",Medication adherence,"An intervention to reduce stigma and improve management of depression, risk of suicide/self-harm and other significant emotional or medically unexplained complaints among adolescents living in urban slums: protocol for the ARTEMIS project",2022
Observational,"Low resource level, Human capital inputs",Stress,"Food diet, Educational achievement",The impact of maternal prenatal smoking on the development of childhood overweight in school‐aged children,2012
"Observational, Cross-sectional",Low resource level,Stress,Medication adherence,HIV-Infected Patients Receiving Lopinavir/Ritonavir-Based Antiretroviral Therapy Achieve High Rates of Virologic Suppression Despite Adherence Rates Less Than 95%,2007
"Observational, Longitudinal / Panel","Low resource level, Resource volatility","Time preferences, Risk preferences","Consumption, Investing",Multidimensional access to financial services: Insights from Indonesia,2018
Observational,Low resource level,"Time preferences, Risk preferences","Consumption, Saving",Influence of Digital Finance on Household Leverage Ratio from the Perspective of Consumption Effect and Income Effect,2022
